,Number,Title,Author,Fiction/Non,Date Read,Topic,Pages,Score,ISBN13,Goodreads ID,Description,Rating,Num Ratings,Publication Date,Shelves
10,11,Spook,Mary Roach,Non,June 2017,Science,311,5,9780393329124,14990.0,"""What happens when we die? Does the light just go out and that's that—the million-year nap? Or will some part of my personality, my me-ness persist? What will that feel like? What will I do all day? Is there a place to plug in my lap-top?"" In an attempt to find out, Mary Roach brings her tireless curiosity to bear on an array of contemporary and historical soul-searchers: scientists, schemers, engineers, mediums, all trying to prove (or disprove) that life goes on after we die.",3.58,30708.0,2006-09-26,
11,12,The God Delusion,Richard Dawkins,Non,June 2017,Religion,374,7,9780618680009,14743.0,"A preeminent scientist - and the world's most prominent atheist - asserts the irrationality of belief in God, and the grievous harm religion has inflicted on society, from the Crusades to 9/11.<br /><br />With rigor and wit, Dawkins examines God in all his forms, from the sex-obsessed tyrant of the Old Testament, to the more benign (but still illogical) Celestial Watchmaker favored by some Enlightenment thinkers. He eviscerates the major arguments for religion, and demonstrates the supreme improbability of a supreme being. He shows how religion fuels war, foments bigotry, and abuses children, buttressing his points with historical and contemporary evidence.<br /><br /><i>The God Delusion</i> makes a compelling case that belief in God is not just wrong, but potentially deadly. It also offers exhilarating insight into the advantages of atheism to the individual and society, not the least of which is a clearer, truer appreciation of the universe's wonders than any faith could ever muster.",3.9,199858.0,2006-10-18,
12,13,Superfreakonomics,Steven Levitt,Non,June 2017,Business,270,7,9780060889579,6402364.0,"The New York Times best-selling Freakonomics was a worldwide sensation, selling over four million copies in thirty-five languages and changing the way we look at the world. Now, Steven D. Levitt and Stephen J. Dubner return with SuperFreakonomics, and fans and newcomers alike will find that the freakquel is even bolder, funnier, and more surprising than the first.<br /><br />Four years in the making, SuperFreakonomics asks not only the tough questions, but the unexpected ones: What's more dangerous, driving drunk or walking drunk? Why is chemotherapy prescribed so often if it's so ineffective? Can a sex change boost your salary?<br /><br />SuperFreakonomics challenges the way we think all over again, exploring the hidden side of everything with such questions as:<br /><br />How is a street prostitute like a department-store Santa?<br />Why are doctors so bad at washing their hands?<br />How much good do car seats do?<br />What's the best way to catch a terrorist?<br />Did TV cause a rise in crime?<br />What do hurricanes, heart attacks, and highway deaths have in common?<br />Are people hard-wired for altruism or selfishness?<br />Can eating kangaroo save the planet?<br />Which adds more value: a pimp or a Realtor?<br /><br />Levitt and Dubner mix smart thinking and great storytelling like no one else, whether investigating a solution to global warming or explaining why the price of oral sex has fallen so drastically. By examining how people respond to incentives, they show the world for what it really is – good, bad, ugly, and, in the final analysis, super freaky.<br /><br />Freakonomics has been imitated many times over – but only now, with SuperFreakonomics, has it met its match.",3.99,105078.0,2009-10-20,
13,14,Outliers,Malcolm Gladwell,Non,June 2017,Psychology,309,9,9780316017923,3228917.0,"In this stunning new book, Malcolm Gladwell takes us on an intellectual journey through the world of ""outliers""--the best and the brightest, the most famous and the most successful. He asks the question: what makes high-achievers different?<br /><br />His answer is that we pay too much attention to what successful people are like, and too little attention to where they are from: that is, their culture, their family, their generation, and the idiosyncratic experiences of their upbringing. Along the way he explains the secrets of software billionaires, what it takes to be a great soccer player, why Asians are good at math, and what made the Beatles the greatest rock band.",4.16,481736.0,2008-11-18,
14,15,The Selfish Gene,Richard Dawkins,Non,June 2017,Science,360,6,9780199291151,61535.0,"<i>The Selfish Gene: 30th Anniversary Edition—with a new Introduction by the Author</i><br /><br />Inheriting the mantle of revolutionary biologist from Darwin, Watson, and Crick, Richard Dawkins forced an enormous change in the way we see ourselves and the world with the publication of <i>The Selfish Gene</i>. Suppose, instead of thinking about organisms using genes to reproduce themselves, as we had since Mendel's work was rediscovered, we turn it around and imagine that ""our"" genes build and maintain us in order to make more genes. That simple reversal seems to answer many puzzlers which had stumped scientists for years, and we haven't thought of evolution in the same way since.<br /><br />Why are there miles and miles of ""unused"" DNA within each of our bodies? Why should a bee give up its own chance to reproduce to help raise her sisters and brothers? With a prophet's clarity, Dawkins told us the answers from the perspective of molecules competing for limited space and resources to produce more of their own kind. Drawing fascinating examples from every field of biology, he paved the way for a serious re-evaluation of evolution. He also introduced the concept of self-reproducing ideas, or memes, which (seemingly) use humans exclusively for their propagation. If we are puppets, he says, at least we can try to understand our strings. —Rob Lightner",4.14,123973.0,2006-05-25,
15,16,We Live in Water,Jess Walter,Fic,June 2017,S.S./Poetry,192,10,9780061926624,15818259.0,"<i>We Live in Water</i> is a darkly comic, moving collection of short stories that veer from comic tales of love to social satire to suspenseful crime fiction, from hip Portland to once-hip Seattle to never-hip Spokane, from a condemned casino in Las Vegas to a bottomless lake in the dark woods of Idaho. This is a world of lost fathers and redemptive con men, of meth tweakers on desperate odysseys and men committing suicide by fishing.<br /><br />In ""Thief,"" an aluminum worker turns unlikely detective to solve the mystery of which of his kids is stealing from the family vacation fund. In ""We Live in Water,"" a lawyer returns to a corrupt North Idaho town to find the father who disappeared thirty years earlier. In ""Anything Helps,"" a homeless man has to ""go to cardboard"" to raise enough money to buy his son the new <i>Harry Potter</i> book. In ""Virgo,"" a local newspaper editor tries to get back at his superstitious ex-girlfriend by screwing with her horoscope. Also included are the stories ""Don't Eat Cat"" and ""Statistical Abstract of My Hometown, Spokane, Washington,"" both of which achieved a cult following after publication online.",3.91,4415.0,2013-02-12,
16,17,Lost at Sea,Jon Ronson,Non,June 2017,Society,400,9,9781594631375,15737151.0,"The New York Times–bestselling author of The Psychopath Test, Jon Ronson writes about the dark, uncanny sides of humanity with clarity and humor. Lost at Sea reveals how deep our collective craziness lies, even in the most mundane circumstances.<br /><br />Ronson investigates the strange things we’re willing to believe in, from lifelike robots programmed with our loved ones’ personalities to indigo children to hypersuccessful spiritual healers to the Insane Clown Posse’s juggalo fans. He looks at ordinary lives that take on extraordinary perspectives, for instance a pop singer whose life’s greatest passion is the coming alien invasion, and the scientist designated to greet those aliens when they arrive. Ronson throws himself into the stories—in a tour de force piece, he splits himself into multiple Ronsons (Happy, Paul, and Titch, among others) to get to the bottom of credit card companies’ predatory tactics and the murky, fabulously wealthy companies behind those tactics. Amateur nuclear physicists, assisted-suicide practitioners, the town of North Pole, Alaska’s Christmas-induced high school mass-murder plot: Ronson explores all these tales with a sense of higher purpose and universality, and suddenly, mid-read, they are stories not about the fringe of society or about people far removed from our own experience, but about all of us.<br /><br />Incisive and hilarious, poignant and maddening, revealing and disturbing—Ronson writes about our modern world, the foibles of contemporary culture, and the chaos that lies at the edge of our daily lives.",3.97,9796.0,2012-11-27,
17,18,Black Flags,Joby Warrick,Non,June 2017,Politics,368,6,9780385538220,25241317.0,"<b>Pulitzer Prize-winning reporter Joby Warrick reveals how the strain of militant Islam now raising its banner across Iraq and Syria spread from a remote Jordanian prison with the unwitting aid of American military intervention.</b><br /><br />     When he succeeded his father in 1999, King Abdullah of Jordan released a batch of political prisoners in the hopes of smoothing his transition to power. Little did he know that among those released was Abu Musab al-Zarqawi, a man who would go on to become a terrorist mastermind too dangerous even for al-Qaeda and give rise to an Islamist movement bent on dominating the Middle East.<br />     Zarqawi began by directing hotel bombings and assassinations in Jordan from a base in northern Iraq, but it was the American invasion of that country in 2003 that catapulted him to the head of a vast insurgency. By identifying him as the link between Saddam and bin Laden, the CIA inadvertently created a monster. Like-minded radicals saw him as a hero resisting the infidel occupiers and rallied to his cause. Their wave of brutal beheadings and suicide bombings continued for years until Jordanian intelligence provided the Americans with the crucial intelligence needed to eliminate Zarqawi in a 2006 airstrike.<br />     But his movement endured, first called al-Qaeda in Iraq, then renamed Islamic State of Iraq and Syria, or ISIS, seeking refuge in unstable, ungoverned pockets on the Iraq-Syria border. And as the Syrian civil war broke out in 2011, ISIS seized its chance to pursue Zarqawi's dream of a sweeping, ultra-conservative Islamic caliphate. <br />     Drawing on unique access to CIA and Jordanian sources, Joby Warrick weaves together heart-pounding, moment-by-moment operational details with overarching historical perspectives to reveal the long trajectory of today's most dangerous Islamic extremist threat.<br /><br /><br /><i>From the Hardcover edition.</i>",4.35,7973.0,2015-09-29,
18,19,Why They Kill,Richard Rhodes,Non,July 2017,Psychology,384,8,9780375702488,693193.0,"Richard Rhodes, Pulitzer Prize-winning author of <b>The Making of the Atomic Bomb</b>, brings his inimitable vision, exhaustive research, and mesmerizing prose to this timely book that dissects violence and offers new solutions to the age old problem of why people kill.<br /><br />Lonnie Athens was raised by a brutally domineering father.  Defying all odds, Athens became a groundbreaking criminologist who turned his scholar's eye to the problem of why people become violent.  After a decade of interviewing several hundred violent convicts--men and women of varied background and ethnicity, he discovered ""violentization,"" the four-stage process by which almost any human being can evolve into someone who will assault, rape, or murder another human being.  <b>Why They Kill</b> is a riveting biography of Athens and a judicious critique of his seminal work, as well as an unflinching investigation into the history of violence.",3.84,419.0,2000-10-10,
19,20,David and Goliath,Malcolm Gladwell,Non,July 2017,Psychology,305,8,9780316204361,15751404.0,"In his #1 bestselling books <i>The Tipping Point</i>, <i>Blink</i>, and <i>Outliers</i>, Malcolm Gladwell has explored the ways we understand and change our world. Now he looks at the complex and surprising ways the weak can defeat the strong, the small can match up against the giant, and how our goals (often culturally determined) can make a huge difference in our ultimate sense of success. Drawing upon examples from the world of business, sports, culture, cutting-edge psychology, and an array of unforgettable characters around the world, <i>David and Goliath</i> is in many ways the most practical and provocative book Malcolm Gladwell has ever written.",3.95,123440.0,2013-10-01,
20,21,The Psychopath Test,Jon Ronson,Non,July 2017,Psychology,275,9,9781594485756,12391521.0,"In this madcap journey, a bestselling journalist investigates psychopaths and the industry of doctors, scientists, and everyone else who studies them. <br /><br />The Psychopath Test is a fascinating journey through the minds of madness. Jon Ronson's exploration of a potential hoax being played on the world's top neurologists takes him, unexpectedly, into the heart of the madness industry. An influential psychologist who is convinced that many important CEOs and politicians are, in fact, psychopaths teaches Ronson how to spot these high-flying individuals by looking out for little telltale verbal and nonverbal clues. And so Ronson, armed with his new psychopath-spotting abilities, enters the corridors of power. He spends time with a death-squad leader institutionalized for mortgage fraud in Coxsackie, New York; a legendary CEO whose psychopathy has been speculated about in the press; and a patient in an asylum for the criminally insane who insists he's sane and certainly not a psychopath. <br /><br />Ronson not only solves the mystery of the hoax but also discovers, disturbingly, that sometimes the personalities at the helm of the madness industry are, with their drives and obsessions, as mad in their own way as those they study. And that relatively ordinary people are, more and more, defined by their maddest edges.",3.94,69594.0,2012-05-01,
21,22,Stiff,Mary Roach,Non,July 2017,Science,303,9,9780393324822,32145.0,"<em>Stiff</em> is an oddly compelling, often hilarious exploration of the strange lives of our bodies postmortem. For two thousand years, cadavers—some willingly, some unwittingly—have been involved in science's boldest strides and weirdest undertakings. In this fascinating account, Mary Roach visits the good deeds of cadavers over the centuries and tells the engrossing story of our bodies when we are no longer with them.",4.06,156083.0,,
22,23,Blink,Malcolm Gladwell,Non,July 2017,Psychology,296,7,9780316010665,40102.0,"Drawing on cutting-edge neuroscience and psychology and displaying all of the brilliance that made <i>The Tipping Point</i> a classic, <i>Blink</i> changes the way you'll understand every decision you make. Never again will you think about thinking the same way.<br /><br />Malcolm Gladwell redefined how we understand the world around us. Now, in Blink, he revolutionizes the way we understand the world within. Blink is a book about how we think without thinking, about choices that seem to be made in an instant - in the blink of an eye - that actually aren't as simple as they seem. Why are some people brilliant decision makers, while others are consistently inept? Why do some people follow their instincts and win, while others end up stumbling into error? How do our brains really work - in the office, in the classroom, in the kitchen, and in the bedroom? And why are the best decisions often those that are impossible to explain to others? <br /><br />In <i>Blink</i> we meet the psychologist who has learned to predict whether a marriage will last, based on a few minutes of observing a couple; the tennis coach who knows when a player will double-fault before the racket even makes contact with the ball; the antiquities experts who recognize a fake at a glance. Here, too, are great failures of ""blink"": the election of Warren Harding; ""New Coke""; and the shooting of Amadou Diallo by police. Blink reveals that great decision makers aren't those who process the most information or spend the most time deliberating, but those who have perfected the art of ""thin-slicing"" - filtering the very few factors that matter from an overwhelming number of variables.",3.93,446224.0,2007-04-03,
23,24,Cathedral,Raymond Carver,Fic,July 2017,S.S./Poetry,230,9,9780679723691,11449.0,"Raymond Carver’s third collection of stories, a finalist for the Pulitzer Prize, including the canonical titular story about blindness and learning to enter the very different world of another.  These twelve stories mark a turning point in Carver’s career and “overflow with the danger, excitement, mystery and possibility of life. . . . Carver is a writer of astonishing compassion and honesty. . . . his eye set only on describing and revealing the world as he sees it. His eye is so clear, it almost breaks your heart” (Jonathan Yardley, <i>Washington Post Book World</i>).<br /><br /><br /><br /><br /><i>From the eBook edition.</i>",4.28,22199.0,1989-06-18,
24,25,Quiet,Susan Cain,Non,July 2017,Psychology,333,8,9780307352149,8520610.0,"<b>The book that started the Quiet Revolution<br /></b><br />At least one-third of the people we know are introverts. They are the ones who prefer listening to speaking; who innovate and create but dislike self-promotion; who favor working on their own over working in teams. It is to introverts—Rosa Parks, Chopin, Dr. Seuss, Steve Wozniak—that we owe many of the great contributions to society. <br /><br />In <i>Quiet, </i>Susan Cain argues that we dramatically undervalue introverts and shows how much we lose in doing so. She charts the rise of the Extrovert Ideal throughout the twentieth century and explores how deeply it has come to permeate our culture. She also introduces us to successful introverts—from a witty, high-octane public speaker who recharges in solitude after his talks, to a record-breaking salesman who quietly taps into the power of questions. Passionately argued, superbly researched, and filled with indelible stories of real people, <i>Quiet </i>has the power to permanently change how we see introverts and, equally important, how they see themselves.<br /><br />Now with Extra Libris material, including a reader’s guide and bonus content.",4.06,267082.0,2012-01-24,
25,26,Them,Jon Ronson,Non,July 2017,Society,336,7,9780743233217,1823.0,"From the bestselling author of <i>The Psychopath Test: A Journey Through the Madness Industry</i> and <i>So You’ve Been Publicly Shamed</i>.<br /><br />A wide variety of extremist groups -- Islamic fundamentalists, neo-Nazis -- share the oddly similar belief that a tiny shadowy elite rule the world from a secret room. In <i>Them,</i> journalist Jon Ronson has joined the extremists to track down the fabled secret room.<br /><br />As a journalist and a Jew, Ronson was often considered one of ""Them"" but he had no idea if their meetings actually took place. Was he just not invited? <i>Them</i> takes us across three continents and into the secret room. Along the way he meets Omar Bakri Mohammed, considered one of the most dangerous men in Great Britain, PR-savvy Ku Klux Klan Grand Wizard Thom Robb, and the survivors of Ruby Ridge. He is chased by men in dark glasses and unmasked as a Jew in the middle of a Jihad training camp. In the forests of northern California he even witnesses CEOs and leading politicians -- like Dick Cheney and George Bush -- undertake a bizarre owl ritual.<br /><br />Ronson's investigations, by turns creepy and comical, reveal some alarming things about the looking-glass world of ""us"" and ""them."" <i>Them</i> is a deep and fascinating look at the lives and minds of extremists. Are the extremists onto something? Or is Jon Ronson becoming one of them?",3.95,12248.0,2003-01-07,
26,27,Why be Happy When You Can be Normal?,Jeanette Wilson,Non,July 2017,Autobio/Memoir,230,6,9780307401243,11395597.0,"Witty, acute, fierce, and celebratory, Why Be Happy When You Could Be Normal? is a tough-minded search for belonging, for love, identity, home, and a mother.<br /><br />Jeanette Winterson's novels have established her as a major figure in world literature. She has written some of the most admired books of the past few decades, including her internationally bestselling first novel, Oranges Are Not the Only Fruit, the story of a young girl adopted by Pentecostal parents that is now often required reading in contemporary fiction. <br /><br />Why Be Happy When You Could Be Normal? is a memoir about a life's work to find happiness. It's a book full of stories: about a girl locked out of her home, sitting on the doorstep all night; about a religious zealot disguised as a mother who has two sets of false teeth and a revolver in the dresser, waiting for Armageddon; about growing up in an north England industrial town now changed beyond recognition; about the Universe as Cosmic Dustbin. <br /><br />It is the story of how a painful past that Jeanette thought she'd written over and repainted rose to haunt her, sending her on a journey into madness and out again, in search of her biological mother.",3.98,24068.0,2012-03-06,
27,28,So You’ve Been Publicly Shamed,Jon Ronson,Non,July 2017,Society,290,9,9781594487132,22571552.0,"<b>Now a  <i>New York Times</i>  bestseller and from the author of The Psychopath Test, a captivating and brilliant exploration of one of our world's most underappreciated forces: shame.<br /></b> <br /><i>'It's about the terror, isn't it?'<br /> <br />'The terror of what?' I said.<br /> <br />'The terror of being found out.'<br /></i> <br />For the past three years, Jon Ronson has travelled the world meeting recipients of high-profile public shamings. The shamed are people like us - people who, say, made a joke on social media that came out badly, or made a mistake at work. Once their transgression is revealed, collective outrage circles with the force of a hurricane and the next thing they know they're being torn apart by an angry mob, jeered at, demonized, sometimes even fired from their job.<br /> <br />A great renaissance of public shaming is sweeping our land. Justice has been democratized. The silent majority are getting a voice. But what are we doing with our voice? We are mercilessly finding people's faults. We are defining the boundaries of normality by ruining the lives of those outside it. We are using shame as a form of social control.<br /> <br />Simultaneously powerful and hilarious in the way only Jon Ronson can be, <i>So You've Been Publicly Shamed</i> is a deeply honest book about modern life, full of eye-opening truths about the escalating war on human flaws - and the very scary part we all play in it.",3.94,35156.0,2015-03-31,
28,29,Packing for Mars,Mary Roach,Non,July 2017,Science,334,7,9780393068474,7237456.0,"<strong>The best-selling author of <em>Stiff</em> and <em>Bonk</em> explores the irresistibly strange universe of space travel and life without gravity.</strong> <br /><br />Space is a world devoid of the things we need to live and thrive: air, gravity, hot showers, fresh produce, privacy, beer. Space exploration is in some ways an exploration of what it means to be human. How much can a person give up? How much weirdness can they take? What happens to you when you can’t walk for a year? have sex? smell flowers? What happens if you vomit in your helmet during a space walk? Is it possible for the human body to survive a bailout at 17,000 miles per hour? <br /><br />To answer these questions, space agencies set up all manner of quizzical and startlingly bizarre space simulations. As Mary Roach discovers, it’s possible to preview space without ever leaving Earth. From the space shuttle training toilet to a crash test of NASA’s new space capsule (cadaver filling in for astronaut), Roach takes us on a surreally entertaining trip into the science of life in space and space on Earth.",3.94,39756.0,2010-08-02,
